Q1,Dorian Gray,young man
Q2,Basil Hallward,painter
Q3,"Lord Henry Wotton",dandy
Q4,Sibyl Vane,actress
Q5,James Vane,Sibyl's younger brother
Q6,Alan Campbell,chemist
Q7,Lord Fermor,Lord Henry's uncle
Q8,Adrian Singleton,friend of Dorian
Q9,Victoria Wotton,lady Wotton 
